job_id,experiment,aggregate_type,allocator_type,base_model,lora_alpha,peft_type,r,schedule_type,target_modules,learning_rate,metric_for_best_model,score,epoch
6388262,6,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['query', 'value']",5e-05,matthews_correlation,0.0,10.0
6388262,5,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['query', 'value']",1e-05,matthews_correlation,0.11749494392463006,10.0
6388262,24,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['query', 'value']",5e-06,matthews_correlation,0.0,10.0
6388262,22,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['query', 'value']",5e-05,matthews_correlation,0.0,10.0
6388262,13,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['query', 'value']",1e-05,matthews_correlation,0.0,10.0
6388262,15,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['query', 'value']",1e-06,matthews_correlation,0.00286100001416597,10.0
6388262,2,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",5e-05,matthews_correlation,0.0,10.0
6388316,20,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['query', 'value']",5e-06,matthews_correlation,0.0,10.0
6388316,6,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",5e-05,matthews_correlation,0.020702674026557004,10.0
6388316,9,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",1e-05,matthews_correlation,0.0,10.0
6388316,17,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['query', 'value']",1e-05,matthews_correlation,0.0,10.0
6388316,3,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['query', 'value']",1e-06,matthews_correlation,0.0,10.0
6388316,24,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['value', 'query']",5e-06,matthews_correlation,0.0,10.0
6388316,13,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['query', 'value']",1e-05,matthews_correlation,0.0,10.0
6388316,23,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['value', 'query']",1e-06,matthews_correlation,0.0,10.0
6388316,8,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",5e-06,matthews_correlation,0.0,10.0
6388316,19,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['query', 'value']",1e-06,matthews_correlation,0.0,10.0
6388316,21,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['value', 'query']",1e-05,matthews_correlation,0.0,10.0
6388316,15,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['value', 'query']",1e-06,matthews_correlation,-0.013798451289729747,10.0
6388316,2,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['query', 'value']",5e-05,matthews_correlation,0.0,10.0
6388316,18,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['value', 'query']",5e-05,matthews_correlation,0.0,10.0
6391026,1,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",0.001,matthews_correlation,0.0,1.0
6388962,6,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",5e-05,matthews_correlation,0.0,10.0
6388962,9,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",1e-05,matthews_correlation,0.0,10.0
6388962,10,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['query', 'value']",5e-05,matthews_correlation,0.0,10.0
6388962,24,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['value', 'query']",5e-06,matthews_correlation,0.0,10.0
6388962,22,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['value', 'query']",5e-05,matthews_correlation,0.0,10.0
6388962,12,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['query', 'value']",5e-06,matthews_correlation,0.0,10.0
6388962,13,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['value', 'query']",1e-05,matthews_correlation,0.0,10.0
6388962,11,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",1e-06,matthews_correlation,-0.031200057294041576,10.0
6388962,7,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['query', 'value']",1e-06,matthews_correlation,0.0,10.0
6388962,23,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['query', 'value']",1e-06,matthews_correlation,0.0,10.0
6388962,8,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",5e-06,matthews_correlation,0.0,10.0
6388962,15,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['value', 'query']",1e-06,matthews_correlation,0.0,10.0
6388962,2,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",5e-05,matthews_correlation,0.0,10.0
6388962,1,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",1e-05,matthews_correlation,0.0,10.0
6367677,6,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['key', 'intermediate.dense', 'query', 'attention.output.dense', 'output.dense', 'value']",0.01,matthews_correlation,0.0,10.0
6367677,9,l2,scaled_multinomial;30,,8.0,LORA,8,periodic;10,"['value', 'output.dense', 'key', 'intermediate.dense', 'attention.output.dense', 'query']",0.01,matthews_correlation,0.020702674026557004,10.0
6367677,8,l2,scaled_multinomial;30,,8.0,LORA,8,periodic;10,"['output.dense', 'query', 'attention.output.dense', 'key', 'value', 'intermediate.dense']",0.001,matthews_correlation,0.0,10.0
6367677,4,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['intermediate.dense', 'query', 'attention.output.dense', 'value', 'key', 'output.dense']",0.0001,matthews_correlation,0.0,10.0
6367677,2,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['intermediate.dense', 'output.dense', 'attention.output.dense', 'key', 'value', 'query']",0.001,matthews_correlation,0.0,10.0
6367677,1,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['output.dense', 'value', 'attention.output.dense', 'query', 'intermediate.dense', 'key']",0.0001,matthews_correlation,0.0,10.0
6359024,6,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['attention.output.dense', 'key', 'query', 'output.dense', 'value', 'intermediate.dense']",1e-05,matthews_correlation,0.0,10.0
6359024,9,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'intermediate.dense', 'key', 'output.dense', 'query', 'attention.output.dense']",0.01,matthews_correlation,0.0,10.0
6359024,3,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['query', 'value', 'intermediate.dense', 'attention.output.dense', 'key', 'output.dense']",0.001,matthews_correlation,0.0,10.0
6359024,13,l2,scaled_multinomial;30,,8.0,LORA,8,periodic;10,"['value', 'attention.output.dense', 'query', 'output.dense', 'key', 'intermediate.dense']",0.001,matthews_correlation,0.0,10.0
6359024,7,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'output.dense', 'key', 'intermediate.dense', 'query', 'attention.output.dense']",0.0001,matthews_correlation,0.0,10.0
6359024,8,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query', 'attention.output.dense', 'key', 'output.dense', 'intermediate.dense']",0.001,matthews_correlation,0.0,10.0
6359024,4,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['key', 'output.dense', 'value', 'attention.output.dense', 'query', 'intermediate.dense']",0.01,matthews_correlation,0.0,10.0
6359024,15,l2,scaled_multinomial;30,,8.0,LORA,8,periodic;10,"['key', 'query', 'intermediate.dense', 'value', 'output.dense', 'attention.output.dense']",0.1,matthews_correlation,0.0,10.0
6359024,2,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['intermediate.dense', 'key', 'attention.output.dense', 'output.dense', 'value', 'query']",0.0001,matthews_correlation,0.0,10.0
6359024,1,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['value', 'intermediate.dense', 'output.dense', 'query', 'key', 'attention.output.dense']",1e-05,matthews_correlation,0.04013560634622473,10.0
6358628,1,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['key', 'attention.output.dense', 'output.dense', 'intermediate.dense', 'query', 'value']",1e-05,matthews_correlation,0.0,10.0
6388307,9,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['query', 'value']",1e-06,matthews_correlation,0.0,10.0
6388307,3,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",5e-05,matthews_correlation,0.0,10.0
6388307,10,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['query', 'value']",5e-06,matthews_correlation,0.0,10.0
6388307,12,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['query', 'value']",1e-05,matthews_correlation,0.0,5.0
6388307,13,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",5e-05,matthews_correlation,0.0,10.0
6388307,4,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['query', 'value']",1e-06,matthews_correlation,0.0,10.0
6388307,1,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",0.0001,matthews_correlation,0.0,10.0
6346848,1,,,,0.5,LORA,8,,"['value', 'query']",5e-05,matthews_correlation,0.0,5.0
6357398,2,,,,0.5,LORA,8,,"['query', 'value']",5e-05,matthews_correlation,0.0,5.0
6357398,1,,,,0.5,LORA,8,,"['query', 'value']",5e-05,matthews_correlation,0.0,5.0
6370161,16,l2,scaled_multinomial;30,,8.0,LORA,8,periodic;100,"['query', 'value']",0.0001,matthews_correlation,0.023431827946222852,10.0
6370161,26,l2,scaled_multinomial;30,,8.0,LORA,8,periodic;10,"['query', 'value']",0.001,matthews_correlation,0.0,10.0
6370161,5,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['query', 'value']",0.001,matthews_correlation,0.0,10.0
6370161,3,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['value', 'query']",0.01,matthews_correlation,0.0,10.0
6370161,28,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;100,"['query', 'value']",0.0001,matthews_correlation,0.0,10.0
6370161,25,l2,scaled_multinomial;30,,8.0,LORA,8,periodic;10,"['value', 'query']",0.0001,matthews_correlation,0.0,10.0
6370161,13,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;100,"['query', 'value']",0.0001,matthews_correlation,0.0,10.0
6370161,11,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;100,"['value', 'query']",0.001,matthews_correlation,0.0,10.0
6370161,7,l2,scaled_multinomial;30,,8.0,LORA,8,periodic;10,"['value', 'query']",0.0001,matthews_correlation,0.0,10.0
6370161,32,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;100,"['query', 'value']",0.001,matthews_correlation,0.0,10.0
6370161,23,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",0.001,matthews_correlation,0.0,10.0
6370161,19,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['query', 'value']",0.0001,matthews_correlation,0.04365745810386553,10.0
6370161,27,l2,scaled_multinomial;30,,8.0,LORA,8,periodic;10,"['query', 'value']",0.01,matthews_correlation,0.08094943118147101,10.0
6370161,21,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['value', 'query']",0.01,matthews_correlation,0.0,10.0
6370161,34,l2,scaled_multinomial;30,,8.0,LORA,8,periodic;100,"['query', 'value']",0.0001,matthews_correlation,0.0,10.0
6370161,2,l2,scaled_multinomial;50,,8.0,LORA,8,periodic;10,"['value', 'query']",0.001,matthews_correlation,0.07857725943647259,10.0
6370161,18,l2,scaled_multinomial;30,,8.0,LORA,8,periodic;100,"['value', 'query']",0.01,matthews_correlation,0.0,10.0
6388274,16,l2,topk;1,,8.0,LORA,8,no_schedule,"['value', 'query']",5e-05,matthews_correlation,0.0,5.0
6388274,6,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['query', 'value']",0.0001,matthews_correlation,0.0,7.0
6388274,9,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['query', 'value']",1e-06,matthews_correlation,0.0,10.0
6388274,14,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",1e-06,matthews_correlation,0.0,10.0
6388274,3,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",5e-05,matthews_correlation,0.0,10.0
6388274,10,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['query', 'value']",5e-06,matthews_correlation,0.0,9.0
6388274,13,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",5e-05,matthews_correlation,0.0,10.0
6388274,11,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['query', 'value']",0.0001,matthews_correlation,0.0,5.0
6388274,15,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",5e-06,matthews_correlation,0.0,7.0
6388274,1,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",0.0001,matthews_correlation,-0.025062945427846983,10.0
6358753,14,l2,scaled_multinomial;30,,8.0,LORA,8,periodic;10,"['key', 'output.dense', 'intermediate.dense', 'attention.output.dense', 'value', 'query']",0.01,matthews_correlation,0.0,10.0
6358753,13,l2,scaled_multinomial;30,,8.0,LORA,8,periodic;10,"['key', 'output.dense', 'query', 'value', 'intermediate.dense', 'attention.output.dense']",0.001,matthews_correlation,0.0,10.0
6358753,15,l2,scaled_multinomial;30,,8.0,LORA,8,periodic;10,"['attention.output.dense', 'intermediate.dense', 'key', 'query', 'value', 'output.dense']",0.1,matthews_correlation,0.0,10.0
6357414,2,,,,0.5,LORA,8,,"['query', 'value']",5e-05,matthews_correlation,0.0,5.0
6388963,9,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",1e-06,matthews_correlation,0.0,10.0
6388963,5,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['query', 'value']",5e-06,matthews_correlation,0.0,10.0
6388963,17,l2,topk;1,,8.0,LORA,8,no_schedule,"['value', 'query']",5e-05,matthews_correlation,0.0,5.0
6388963,3,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",5e-05,matthews_correlation,0.0,10.0
6388963,10,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['query', 'value']",5e-06,matthews_correlation,0.0,10.0
6388963,24,l2,topk;1,,8.0,LORA,8,no_schedule,"['value', 'query']",5e-05,matthews_correlation,0.0,5.0
6388963,22,l2,topk;1,,8.0,LORA,8,no_schedule,"['query', 'value']",5e-05,matthews_correlation,0.0,5.0
6388963,8,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",5e-05,matthews_correlation,0.0,10.0
6388963,19,l2,topk;1,,8.0,LORA,8,no_schedule,"['value', 'query']",5e-05,matthews_correlation,0.0,5.0
6388963,21,l2,topk;1,,8.0,LORA,8,no_schedule,"['query', 'value']",5e-05,matthews_correlation,0.0,5.0
6388963,15,l2,scaled_multinomial;10,,8.0,LORA,8,periodic;10,"['value', 'query']",5e-06,matthews_correlation,0.0,10.0
